Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
sheep,3.0,104.9,depression,painless lumps,loss of appetite,pneumonia
cow,12.0,101.6,depression,loss of appetite,painless lumps,lumpy virus
goat,1.0,102.5,loss of appetite,depression,painless lumps,lumpy virus
cow,5.0,100.2,sores on gums,difficulty walking,loss of appetite,foot and mouth
sheep,9.0,101.0,loss of appetite,difficulty walking,sores on mouth,foot and mouth
sheep,8.0,102.4,depression,loss of appetite,painless lumps,lumpy virus
buffalo,12.0,102.6,sores on tongue,lameness,loss of appetite,foot and mouth
buffalo,13.0,101.2,loss of appetite,difficulty walking,depression,blackleg
cow,12.0,102.9,loss of appetite,painless lumps,depression,lumpy virus
sheep,3.0,103.7,sweats,chills,shortness of breath,anthrax
goat,4.0,103.8,loss of appetite,painless lumps,depression,pneumonia
buffalo,12.0,100.4,shortness of breath,sweats,chills,anthrax
buffalo,10.0,100.2,painless lumps,loss of appetite,depression,pneumonia
cow,1.0,101.9,loss of appetite,depression,painless lumps,lumpy virus
sheep,1.0,100.4,painless lumps,loss of appetite,depression,pneumonia
sheep,8.0,101.5,loss of appetite,depression,painless lumps,pneumonia
sheep,6.0,103.4,painless lumps,loss of appetite,depression,lumpy virus
buffalo,13.0,101.2,painless lumps,depression,loss of appetite,pneumonia
buffalo,9.0,101.2,depression,painless lumps,loss of appetite,lumpy virus
goat,4.0,104.3,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
cow,9.0,101.3,crackling sound,lameness,depression,blackleg
buffalo,2.0,104.5,depression,loss of appetite,painless lumps,pneumonia
buffalo,15.0,100.4,swelling in muscle,crackling sound,loss of appetite,blackleg
cow,11.0,102.1,sweats,fatigue,chills,anthrax
cow,15.0,101.8,swelling in muscle,lameness,crackling sound,blackleg
cow,4.0,103.0,depression,painless lumps,loss of appetite,lumpy virus
cow,2.0,103.8,loss of appetite,depression,painless lumps,lumpy virus
sheep,3.0,100.2,difficulty walking,crackling sound,swelling in limb,blackleg
sheep,8.0,101.9,loss of appetite,painless lumps,depression,lumpy virus
goat,5.0,102.6,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
sheep,6.0,100.2,crackling sound,difficulty walking,depression,blackleg
sheep,8.0,100.9,lameness,sores on tongue,loss of appetite,foot and mouth
goat,8.0,102.0,chills,fatigue,swelling in abdomen,anthrax
cow,14.0,104.5,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
buffalo,3.0,101.3,painless lumps,loss of appetite,depression,lumpy virus
buffalo,4.0,103.6,painless lumps,loss of appetite,depression,pneumonia
sheep,4.0,101.0,shortness of breath,swelling in abdomen,fatigue,anthrax
buffalo,10.0,102.0,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,12.0,101.7,loss of appetite,painless lumps,depression,pneumonia
cow,15.0,102.9,swelling in abdomen,chills,shortness of breath,anthrax
cow,15.0,102.1,painless lumps,loss of appetite,depression,lumpy virus
buffalo,14.0,102.6,sweats,fatigue,chest discomfort,anthrax
buffalo,8.0,103.7,painless lumps,loss of appetite,depression,pneumonia
cow,3.0,102.1,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,7.0,104.5,loss of appetite,painless lumps,depression,pneumonia
sheep,8.0,104.0,fatigue,chills,chest discomfort,anthrax
cow,5.0,101.2,depression,loss of appetite,painless lumps,pneumonia
sheep,3.0,100.4,crackling sound,depression,difficulty walking,blackleg
goat,1.0,102.4,painless lumps,depression,loss of appetite,lumpy virus
cow,12.0,102.4,crackling sound,loss of appetite,difficulty walking,blackleg
cow,5.0,100.2,loss of appetite,depression,painless lumps,pneumonia
goat,2.0,102.0,depression,painless lumps,loss of appetite,lumpy virus
goat,7.0,104.7,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,5.0,102.4,loss of appetite,difficulty walking,swelling in muscle,blackleg
cow,4.0,102.2,painless lumps,depression,loss of appetite,pneumonia
buffalo,13.0,104.4,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,7.0,104.2,depression,loss of appetite,painless lumps,pneumonia
cow,3.0,104.1,depression,painless lumps,loss of appetite,lumpy virus
sheep,6.0,103.9,loss of appetite,depression,painless lumps,pneumonia
sheep,9.0,100.5,loss of appetite,painless lumps,depression,pneumonia
goat,2.0,101.1,loss of appetite,painless lumps,depression,pneumonia
sheep,10.0,101.8,sweats,chest discomfort,chills,anthrax
sheep,3.0,100.0,fatigue,chest discomfort,chills,anthrax
sheep,3.0,103.5,swelling in limb,depression,crackling sound,blackleg
goat,9.0,101.3,depression,loss of appetite,painless lumps,pneumonia
cow,1.0,103.2,loss of appetite,depression,painless lumps,pneumonia
buffalo,3.0,101.0,painless lumps,depression,loss of appetite,lumpy virus
goat,6.0,101.0,chest discomfort,swelling in extremities,chills,anthrax
sheep,5.0,101.1,loss of appetite,depression,painless lumps,pneumonia
sheep,1.0,100.1,depression,loss of appetite,painless lumps,lumpy virus
sheep,4.0,101.5,swelling in limb,depression,crackling sound,blackleg
goat,4.0,101.0,sores on hooves,loss of appetite,lameness,foot and mouth
goat,7.0,101.2,chest discomfort,chills,sweats,anthrax
buffalo,1.0,101.8,sores on hooves,loss of appetite,difficulty walking,foot and mouth
cow,2.0,100.7,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
goat,7.0,101.6,sweats,shortness of breath,chills,anthrax
cow,13.0,104.1,sweats,fatigue,swelling in abdomen,anthrax
buffalo,12.0,101.6,shortness of breath,chills,chest discomfort,anthrax
buffalo,7.0,102.8,chest discomfort,shortness of breath,swelling in neck,anthrax
sheep,1.0,100.3,loss of appetite,depression,painless lumps,pneumonia
cow,14.0,102.0,painless lumps,loss of appetite,depression,lumpy virus
cow,2.0,101.8,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,5.0,100.1,chest discomfort,fatigue,swelling in neck,anthrax
buffalo,10.0,100.0,loss of appetite,depression,painless lumps,lumpy virus
goat,7.0,100.4,depression,lameness,swelling in muscle,blackleg
cow,12.0,102.2,fatigue,sweats,shortness of breath,anthrax
cow,12.0,102.9,fatigue,swelling in abdomen,chest discomfort,anthrax
sheep,1.0,102.4,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,9.0,101.7,depression,painless lumps,loss of appetite,pneumonia
goat,6.0,101.9,depression,painless lumps,loss of appetite,lumpy virus
sheep,9.0,100.3,depression,painless lumps,loss of appetite,lumpy virus
sheep,10.0,103.0,sweats,fatigue,chest discomfort,anthrax
goat,6.0,100.1,blisters on hooves,loss of appetite,lameness,foot and mouth
cow,6.0,102.4,lameness,swelling in muscle,depression,blackleg
cow,10.0,104.4,loss of appetite,depression,painless lumps,lumpy virus
sheep,10.0,104.4,swelling in extremities,chest discomfort,chills,anthrax
cow,14.0,104.8,loss of appetite,crackling sound,lameness,blackleg
sheep,8.0,100.4,depression,painless lumps,loss of appetite,lumpy virus
buffalo,13.0,101.2,lameness,loss of appetite,sores on tongue,foot and mouth
buffalo,1.0,102.3,sores on gums,lameness,loss of appetite,foot and mouth
goat,3.0,103.4,painless lumps,loss of appetite,depression,pneumonia
cow,11.0,101.9,difficulty walking,depression,crackling sound,blackleg
sheep,3.0,101.3,loss of appetite,depression,painless lumps,lumpy virus
buffalo,15.0,100.4,loss of appetite,painless lumps,depression,pneumonia
sheep,2.0,102.0,swelling in abdomen,chills,shortness of breath,anthrax
sheep,2.0,103.7,loss of appetite,blisters on gums,lameness,foot and mouth
buffalo,3.0,102.1,fatigue,sweats,chills,anthrax
cow,10.0,104.6,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
cow,3.0,101.4,shortness of breath,sweats,chills,anthrax
buffalo,2.0,102.9,loss of appetite,depression,painless lumps,lumpy virus
goat,3.0,101.4,fatigue,shortness of breath,chills,anthrax
cow,1.0,102.8,sweats,chest discomfort,fatigue,anthrax
goat,4.0,101.5,fatigue,shortness of breath,swelling in abdomen,anthrax
cow,1.0,102.4,crackling sound,loss of appetite,depression,blackleg
goat,5.0,102.5,painless lumps,depression,loss of appetite,lumpy virus
cow,15.0,104.5,chest discomfort,sweats,chills,anthrax
goat,8.0,102.4,loss of appetite,depression,painless lumps,pneumonia
cow,7.0,100.8,crackling sound,depression,loss of appetite,blackleg
goat,7.0,102.1,chest discomfort,sweats,chills,anthrax
goat,8.0,104.3,swelling in extremities,fatigue,chest discomfort,anthrax
goat,6.0,103.9,loss of appetite,painless lumps,depression,pneumonia
cow,11.0,102.2,chest discomfort,swelling in neck,chills,anthrax
goat,5.0,102.3,loss of appetite,painless lumps,depression,lumpy virus
sheep,8.0,100.8,depression,lameness,crackling sound,blackleg
sheep,8.0,104.2,sores on hooves,lameness,loss of appetite,foot and mouth
buffalo,13.0,102.2,depression,painless lumps,loss of appetite,pneumonia
cow,14.0,102.2,painless lumps,loss of appetite,depression,pneumonia
cow,1.0,101.5,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,7.0,100.4,painless lumps,loss of appetite,depression,pneumonia
goat,7.0,102.0,sweats,shortness of breath,chills,anthrax
sheep,2.0,100.2,painless lumps,loss of appetite,depression,lumpy virus
goat,6.0,100.5,depression,painless lumps,loss of appetite,lumpy virus
goat,5.0,102.4,fatigue,chills,swelling in neck,anthrax
cow,1.0,100.1,sweats,chills,swelling in abdomen,anthrax
cow,9.0,101.1,loss of appetite,swelling in limb,crackling sound,blackleg
buffalo,15.0,104.2,painless lumps,loss of appetite,depression,pneumonia
sheep,4.0,101.9,painless lumps,depression,loss of appetite,pneumonia
sheep,9.0,104.5,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,1.0,102.2,shortness of breath,sweats,chills,anthrax
buffalo,1.0,103.0,blisters on mouth,lameness,loss of appetite,foot and mouth
buffalo,11.0,103.7,shortness of breath,swelling in extremities,chest discomfort,anthrax
sheep,8.0,102.8,difficulty walking,loss of appetite,depression,blackleg
cow,10.0,101.2,painless lumps,depression,loss of appetite,pneumonia
buffalo,7.0,103.7,loss of appetite,painless lumps,depression,pneumonia
goat,6.0,102.0,fatigue,sweats,swelling in neck,anthrax
buffalo,4.0,103.5,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,6.0,101.9,blisters on tongue,lameness,loss of appetite,foot and mouth
cow,7.0,102.4,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,9.0,104.3,lameness,sores on hooves,loss of appetite,foot and mouth
goat,8.0,100.4,swelling in neck,sweats,fatigue,anthrax
cow,3.0,102.1,painless lumps,loss of appetite,depression,pneumonia
buffalo,11.0,104.8,painless lumps,loss of appetite,depression,lumpy virus
buffalo,6.0,102.4,depression,painless lumps,loss of appetite,lumpy virus
goat,9.0,103.8,sweats,chest discomfort,fatigue,anthrax
buffalo,1.0,101.2,painless lumps,loss of appetite,depression,pneumonia
cow,10.0,102.3,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
sheep,8.0,100.8,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,1.0,102.8,painless lumps,loss of appetite,depression,pneumonia
goat,1.0,100.8,loss of appetite,lameness,blisters on mouth,foot and mouth
cow,3.0,100.6,crackling sound,loss of appetite,depression,blackleg
goat,6.0,104.2,blisters on mouth,lameness,loss of appetite,foot and mouth
sheep,8.0,103.7,painless lumps,depression,loss of appetite,pneumonia
cow,13.0,104.0,lameness,loss of appetite,sores on mouth,foot and mouth
cow,8.0,102.2,swelling in muscle,depression,lameness,blackleg
goat,10.0,100.3,swelling in limb,loss of appetite,lameness,blackleg
goat,5.0,102.2,depression,lameness,loss of appetite,blackleg
cow,13.0,104.1,painless lumps,depression,loss of appetite,pneumonia
goat,8.0,104.3,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,9.0,101.6,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,1.0,100.2,loss of appetite,difficulty walking,sores on tongue,foot and mouth
buffalo,4.0,100.0,loss of appetite,depression,painless lumps,pneumonia
sheep,9.0,102.4,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,1.0,102.0,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,11.0,102.7,fatigue,shortness of breath,swelling in neck,anthrax
sheep,3.0,101.4,chills,chest discomfort,fatigue,anthrax
cow,7.0,100.1,depression,loss of appetite,painless lumps,lumpy virus
sheep,6.0,102.6,sweats,fatigue,swelling in extremities,anthrax
goat,8.0,100.8,painless lumps,depression,loss of appetite,pneumonia
buffalo,14.0,101.1,depression,loss of appetite,swelling in limb,blackleg
sheep,10.0,101.9,painless lumps,loss of appetite,depression,pneumonia
buffalo,1.0,101.7,lameness,loss of appetite,depression,blackleg
cow,3.0,104.2,loss of appetite,lameness,crackling sound,blackleg
sheep,5.0,101.3,lameness,swelling in limb,crackling sound,blackleg
goat,7.0,102.8,painless lumps,depression,loss of appetite,lumpy virus
buffalo,7.0,102.7,depression,painless lumps,loss of appetite,lumpy virus
sheep,4.0,102.3,loss of appetite,depression,crackling sound,blackleg
sheep,10.0,104.2,shortness of breath,fatigue,swelling in neck,anthrax
buffalo,14.0,102.0,depression,crackling sound,swelling in muscle,blackleg
buffalo,6.0,104.3,loss of appetite,depression,painless lumps,lumpy virus
sheep,9.0,103.7,painless lumps,loss of appetite,depression,pneumonia
sheep,3.0,100.4,loss of appetite,crackling sound,swelling in limb,blackleg
buffalo,6.0,103.9,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,3.0,100.7,swelling in limb,crackling sound,loss of appetite,blackleg
sheep,3.0,101.2,swelling in limb,depression,difficulty walking,blackleg
sheep,2.0,102.9,fatigue,sweats,chest discomfort,anthrax
cow,13.0,102.7,loss of appetite,painless lumps,depression,pneumonia
sheep,8.0,103.5,depression,painless lumps,loss of appetite,lumpy virus
goat,9.0,102.1,depression,difficulty walking,crackling sound,blackleg
buffalo,6.0,101.2,swelling in abdomen,shortness of breath,fatigue,anthrax
goat,2.0,103.9,lameness,sores on hooves,loss of appetite,foot and mouth
sheep,7.0,104.1,loss of appetite,painless lumps,depression,lumpy virus
sheep,10.0,102.8,loss of appetite,painless lumps,depression,lumpy virus
cow,1.0,104.1,depression,painless lumps,loss of appetite,lumpy virus
goat,1.0,103.6,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,12.0,104.2,painless lumps,loss of appetite,depression,pneumonia
sheep,10.0,105.0,fatigue,chest discomfort,sweats,anthrax
sheep,1.0,104.6,depression,loss of appetite,painless lumps,lumpy virus
sheep,2.0,104.5,painless lumps,depression,loss of appetite,lumpy virus
cow,14.0,101.8,loss of appetite,depression,painless lumps,lumpy virus
sheep,10.0,103.1,loss of appetite,depression,painless lumps,pneumonia
buffalo,8.0,101.9,loss of appetite,painless lumps,depression,lumpy virus
goat,8.0,100.2,depression,loss of appetite,painless lumps,lumpy virus
buffalo,9.0,100.4,chills,sweats,shortness of breath,anthrax
goat,3.0,102.0,loss of appetite,depression,swelling in muscle,blackleg
sheep,4.0,103.9,loss of appetite,depression,painless lumps,lumpy virus
buffalo,8.0,101.1,painless lumps,depression,loss of appetite,pneumonia
cow,13.0,101.0,loss of appetite,depression,painless lumps,lumpy virus
goat,8.0,101.5,chest discomfort,swelling in extremities,sweats,anthrax
sheep,1.0,101.5,loss of appetite,blisters on gums,lameness,foot and mouth
cow,14.0,102.0,depression,loss of appetite,swelling in limb,blackleg
cow,12.0,100.9,shortness of breath,sweats,fatigue,anthrax
buffalo,12.0,102.3,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,6.0,102.0,painless lumps,depression,loss of appetite,pneumonia
buffalo,13.0,101.4,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,9.0,104.1,fatigue,shortness of breath,chills,anthrax
buffalo,8.0,101.8,loss of appetite,painless lumps,depression,lumpy virus
sheep,4.0,102.1,sweats,chills,shortness of breath,anthrax
goat,9.0,103.8,depression,painless lumps,loss of appetite,pneumonia
buffalo,11.0,103.7,shortness of breath,fatigue,sweats,anthrax
goat,3.0,100.6,chills,shortness of breath,fatigue,anthrax
goat,5.0,101.9,swelling in muscle,crackling sound,difficulty walking,blackleg
cow,13.0,103.2,painless lumps,depression,loss of appetite,lumpy virus
buffalo,11.0,102.5,fatigue,chills,sweats,anthrax
cow,4.0,100.3,chest discomfort,chills,sweats,anthrax
sheep,2.0,104.2,loss of appetite,depression,painless lumps,pneumonia
sheep,2.0,101.4,loss of appetite,difficulty walking,blisters on gums,foot and mouth
buffalo,3.0,103.8,chills,fatigue,shortness of breath,anthrax
goat,10.0,104.0,depression,difficulty walking,loss of appetite,blackleg
buffalo,3.0,100.4,difficulty walking,sores on gums,loss of appetite,foot and mouth
cow,8.0,103.8,loss of appetite,painless lumps,depression,pneumonia
cow,14.0,100.8,loss of appetite,painless lumps,depression,lumpy virus
goat,8.0,101.9,painless lumps,depression,loss of appetite,pneumonia
cow,8.0,101.1,lameness,loss of appetite,swelling in muscle,blackleg
buffalo,5.0,102.6,depression,painless lumps,loss of appetite,lumpy virus
goat,10.0,103.3,depression,loss of appetite,painless lumps,lumpy virus
sheep,3.0,100.7,painless lumps,loss of appetite,depression,lumpy virus
sheep,4.0,101.4,swelling in limb,lameness,loss of appetite,blackleg
sheep,3.0,100.3,depression,loss of appetite,painless lumps,pneumonia
goat,3.0,101.1,sores on gums,lameness,loss of appetite,foot and mouth
buffalo,15.0,102.4,depression,painless lumps,loss of appetite,lumpy virus
cow,2.0,103.8,shortness of breath,sweats,chest discomfort,anthrax
buffalo,3.0,103.4,crackling sound,depression,loss of appetite,blackleg
buffalo,1.0,100.6,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
goat,2.0,101.8,painless lumps,loss of appetite,depression,pneumonia
cow,3.0,101.7,fatigue,chest discomfort,sweats,anthrax
buffalo,5.0,103.3,crackling sound,swelling in limb,depression,blackleg
cow,5.0,103.7,loss of appetite,painless lumps,depression,lumpy virus
sheep,10.0,104.3,chills,shortness of breath,chest discomfort,anthrax
cow,10.0,103.2,fatigue,shortness of breath,chills,anthrax
cow,3.0,103.0,loss of appetite,painless lumps,depression,lumpy virus
goat,1.0,101.3,swelling in muscle,loss of appetite,lameness,blackleg
goat,6.0,104.9,loss of appetite,lameness,swelling in limb,blackleg
cow,4.0,100.1,depression,crackling sound,swelling in muscle,blackleg
buffalo,14.0,103.4,sweats,chills,fatigue,anthrax
goat,10.0,104.4,fatigue,chills,chest discomfort,anthrax
buffalo,13.0,102.7,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,4.0,104.8,lameness,crackling sound,depression,blackleg
cow,12.0,100.0,blisters on mouth,lameness,loss of appetite,foot and mouth
goat,10.0,104.2,loss of appetite,lameness,sores on tongue,foot and mouth
cow,8.0,101.2,depression,loss of appetite,painless lumps,lumpy virus
cow,4.0,102.4,loss of appetite,depression,painless lumps,lumpy virus
buffalo,10.0,102.4,loss of appetite,depression,crackling sound,blackleg
sheep,1.0,100.3,loss of appetite,depression,painless lumps,lumpy virus
goat,5.0,102.6,painless lumps,loss of appetite,depression,lumpy virus
goat,10.0,101.3,crackling sound,swelling in muscle,difficulty walking,blackleg
sheep,2.0,103.3,depression,loss of appetite,painless lumps,lumpy virus
sheep,6.0,102.2,fatigue,swelling in abdomen,sweats,anthrax
sheep,3.0,104.6,painless lumps,loss of appetite,depression,pneumonia
goat,9.0,101.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,7.0,100.2,difficulty walking,swelling in limb,loss of appetite,blackleg
cow,2.0,102.3,depression,painless lumps,loss of appetite,pneumonia
buffalo,11.0,102.5,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,5.0,104.9,fatigue,sweats,swelling in abdomen,anthrax
sheep,10.0,102.1,depression,loss of appetite,painless lumps,pneumonia
cow,14.0,101.4,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,8.0,101.6,depression,loss of appetite,painless lumps,lumpy virus
sheep,1.0,104.6,painless lumps,depression,loss of appetite,pneumonia
cow,14.0,100.3,depression,painless lumps,loss of appetite,pneumonia
cow,2.0,101.6,loss of appetite,painless lumps,depression,pneumonia
goat,8.0,104.7,depression,painless lumps,loss of appetite,pneumonia
sheep,7.0,101.0,chills,fatigue,shortness of breath,anthrax
goat,3.0,101.9,loss of appetite,painless lumps,depression,pneumonia
cow,10.0,102.8,swelling in neck,chest discomfort,shortness of breath,anthrax
buffalo,7.0,102.8,shortness of breath,fatigue,sweats,anthrax
buffalo,9.0,102.5,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,4.0,101.1,loss of appetite,depression,painless lumps,pneumonia
cow,4.0,100.9,difficulty walking,depression,swelling in muscle,blackleg
goat,6.0,100.2,blisters on mouth,loss of appetite,lameness,foot and mouth
sheep,1.0,101.1,shortness of breath,swelling in neck,chest discomfort,anthrax
cow,6.0,100.9,difficulty walking,loss of appetite,swelling in muscle,blackleg
cow,7.0,104.5,depression,loss of appetite,painless lumps,pneumonia
goat,5.0,100.6,swelling in limb,crackling sound,difficulty walking,blackleg
sheep,9.0,101.7,sores on hooves,loss of appetite,lameness,foot and mouth
buffalo,13.0,104.3,depression,painless lumps,loss of appetite,lumpy virus
cow,4.0,104.8,depression,crackling sound,swelling in muscle,blackleg
buffalo,5.0,100.1,chills,swelling in neck,shortness of breath,anthrax
sheep,9.0,101.4,blisters on gums,difficulty walking,loss of appetite,foot and mouth
cow,2.0,104.5,loss of appetite,painless lumps,depression,lumpy virus
